tScaled  A  B  C  D
0.001  1.0  5.167702922063749e-9  5.167702922063749e-9  2.470519281570597e-17
0.002  1.0000000000003357  4.135005398569513e-8  4.135005398569513e-8  3.357297771004844e-13
0.003  1.000000000001184  1.39555813039223e-7  1.39555813039223e-7  1.1838281898735192e-12
0.004  1.0000000000019909  3.307739857397962e-7  3.307739857397962e-7  1.9907992887097787e-12
0.005  1.000000000002197  6.459934088309981e-7  6.459934088309981e-7  2.1967662960059294e-12
0.006  1.000000000001242  1.1162029190564098e-6  1.1162029190564098e-6  1.2418524341586526e-12
0.007  0.9999999999985663  1.7723913531596139e-6  1.7723913531596139e-6  1.4338190744353825e-12
0.008  0.99999999999361  2.6455475478841924e-6  2.6455475478841924e-6  6.3901250073795015e-12
0.009  0.999999999986012  3.766661385975251e-6  3.766661385975251e-6  1.3988176316660801e-11
0.01  1.000000000206188  5.167924920724282e-6  5.167924920724282e-6  2.0618788113203775e-10
0.011  1.0000000008148011  6.881116767628087e-6  6.881116767628087e-6  8.148010622075344e-10
0.012  1.0000000017462511  8.936813912250604e-6  8.936813912250604e-6  1.746251092998257e-9
0.013  1.0000000029349376  1.1365593340155761e-5  1.1365593340155761e-5  2.9349376995926374e-9
0.014  1.0000000043152606  1.4198032036907473e-5  1.4198032036907473e-5  4.315260608079102e-9
0.015  1.0000000058216196  1.7464706988069678e-5  1.7464706988069678e-5  5.8216195445460875e-9
0.016  1.0000000073884143  2.1196195179206298e-5  2.1196195179206298e-5  7.38841423508202e-9
0.017  1.0000000089500445  2.5423073595881268e-5  2.5423073595881268e-5  8.950044405775339e-9
0.018  1.0000000104409097  3.0175919223658506e-5  3.0175919223658506e-5  1.0440909782714458e-8
0.019  1.0000000117954102  3.5485309048101946e-5  3.5485309048101946e-5  1.1795410091987819e-8
0.02  1.0000000129479452  4.138182005477555e-5  4.138182005477555e-5  1.2947945059683859e-8
0.021  1.0000000138329144  4.789602922924318e-5  4.789602922924318e-5  1.3832914411890977e-8
0.022  1.0000000143847179  5.5058513557068806e-5  5.5058513557068806e-5  1.4384717874697644e-8
0.023  1.0000000145377552  6.289985002381636e-5  6.289985002381636e-5  1.4537755174192263e-8
0.024  1.000000014226426  7.145061561504974e-5  7.145061561504974e-5  1.4226426036463286e-8
0.025  1.0000000133851301  8.074138731633289e-5  8.074138731633289e-5  1.338513018759911e-8
0.026  1.0000000119482675  9.080274211322973e-5  9.080274211322973e-5  1.1948267353688199e-8
0.027  1.0000000098502373  0.00010166525699130421  0.00010166525699130421  9.850237260818957e-9
0.028  1.0000000070254396  0.00011335950893612027  0.00011335950893612027  7.0254396350798385e-9
0.029  1.000000003408274  0.00012591607493324177  0.00012591607493324177  3.40827420255927e-9
0.03  0.9999999989331407  0.00013936553196823275  0.00013936553196823275  1.0668593106543524e-9
0.031  0.9999999935344388  0.00015373845702665705  0.00015373845702665705  6.465561178472586e-9
0.032  0.9999999871465683  0.00016906542709407862  0.00016906542709407862  1.285343167480694e-8
0.033  0.999999979703929  0.00018537701915606134  0.00018537701915606134  2.0296071073569045e-8
0.034  0.9999999711409204  0.00020270381019816923  0.00020270381019816923  2.8859079648670446e-8
0.035  0.9999999613919424  0.00022107637720596612  0.00022107637720596612  3.8608057674022735e-8
0.036  0.9999999503913947  0.00024052529716501607  0.00024052529716501607  4.960860542353748e-8
0.037  0.9999999380736769  0.00026108114706088287  0.00026108114706088287  6.19263231711262e-8
0.038  0.9999999243731889  0.0002827745038791305  0.0002827745038791305  7.562681119070052e-8
0.039  0.9999999092243304  0.0003056359446053229  0.0003056359446053229  9.077566975617202e-8
0.04  0.9999998925615009  0.00032969604622502406  0.00032969604622502406  1.0743849914145223e-7
0.041  0.9999998743191004  0.00035498538572379773  0.00035498538572379773  1.2568089962045272e-7
0.042  0.999999854437864  0.00038153455086995956  0.00038153455086995956  1.455621361541896e-7
0.043  0.9999998484515792  0.0004094005379195344  0.0004094005379195344  1.515484209275286e-7
0.044  0.9999998693573972  0.00043863552249650054  0.00043863552249650054  1.3064260286907076e-7
0.045  0.99999991512567  0.00046926598372078264  0.00046926598372078264  8.487433006951987e-8
0.046  0.9999999837267495  0.0005013184007123053  0.0005013184007123053  1.6273250619582154e-8
0.047  1.0000000731309875  0.0005348192525909938  0.0005348192525909938  7.313098739003874e-8
0.048  1.000000181308736  0.0005697950184767725  0.0005697950184767725  1.8130873586863572e-7
0.049  1.0000003062303469  0.0006062721774895663  0.0006062721774895663  3.062303467255072e-7
0.05  1.000000445866172  0.0006442772087493  0.0006442772087493  4.458661718699467e-7
0.051  1.0000005981865632  0.0006838365913758987  0.0006838365913758987  5.981865632112488e-7
0.052  1.0000007611618729  0.0007249768044892865  0.0007249768044892865  7.611618726587147e-7
0.053  1.0000009327624522  0.0007677243272093892  0.0007677243272093892  9.327624521216275e-7
0.054  1.0000011109586535  0.0008121056386561304  0.0008121056386561304  1.1109586535092937e-6
0.055  1.0000012937208287  0.0008581472179494354  0.0008581472179494354  1.2937208287310104e-6
0.056  1.00000147901933  0.0009058755442092295  0.0009058755442092295  1.4790193296960551e-6
0.057  1.0000016648245085  0.0009553170965554365  0.0009553170965554365  1.6648245083137426e-6
0.058  1.0000018491067166  0.0010064983541079823  0.0010064983541079823  1.8491067164933571e-6
0.059  1.0000020298363061  0.001059445795986791  0.001059445795986791  2.0298363061441987e-6
0.06  1.0000022049836292  0.001114185901311787  0.001114185901311787  2.204983629175561e-6
0.061  1.0000023725190375  0.0011707451492028963  0.0011707451492028963  2.3725190374967353e-6
0.062  1.0000025304128832  0.0012291500187800424  0.0012291500187800424  2.5304128830170273e-6
0.063  1.0000026766355177  0.0012894269891631511  0.0012894269891631511  2.6766355176457223e-6
0.064  1.0000028091572932  0.0013516025394721468  0.0013516025394721468  2.8091572932921185e-6
0.065  1.0000029259485619  0.0014157031488269537  0.0014157031488269537  2.9259485618655102e-6
0.066  1.0000030249796754  0.0014817552963474975  0.0014817552963474975  3.024979675275195e-6
0.067  1.0000031042209854  0.0015497854611537033  0.0015497854611537033  3.1042209854304673e-6
0.068  1.0000031616428444  0.0016198201223654937  0.0016198201223654937  3.1616428442406335e-6
0.069  1.0000031952156037  0.0016918857591027962  0.0016918857591027962  3.195215603614956e-6
0.07  1.0000032029096155  0.001766008850485534  0.001766008850485534  3.2029096154627664e-6
0.071  1.0000031826952318  0.0018422158756336324  0.0018422158756336324  3.1826952316933424e-6
0.072  1.0000031325428043  0.001920533313667016  0.001920533313667016  3.1325428042159683e-6
0.073  1.000003050422685  0.0020009876437056097  0.0020009876437056097  3.0504226849399687e-6
0.074  1.000002934305226  0.0020836053448693376  0.0020836053448693376  2.934305225774619e-6
0.075  1.0000027821607786  0.0021684128962781257  0.0021684128962781257  2.7821607786292168e-6
0.076  1.0000025919596955  0.002255436777051899  0.002255436777051899  2.5919596954130627e-6
0.077  1.0000023616723281  0.00234470346631058  0.00234470346631058  2.36167232803545e-6
0.078  1.0000020892690284  0.0024362394431740957  0.0024362394431740957  2.089269028405662e-6
0.079  1.0000017727201487  0.00253007118676237  0.00253007118676237  1.7727201484330162e-6
0.08  1.0000014099960401  0.0026262251761953286  0.0026262251761953286  1.409996040026785e-6
0.081  1.000000999067055  0.0027247278905928947  0.0027247278905928947  9.99067055096282e-7
0.082  1.0000005379035457  0.002825605809074994  0.002825605809074994  5.379035455507946e-7
0.083  1.0000000244758633  0.0029288854107615524  0.0029288854107615524  2.44758632996021e-8
0.084  0.9999994567543603  0.0030345931747724915  0.0030345931747724915  5.43245639747958e-7
0.085  0.9999988327093884  0.0031427555802277392  0.0031427555802277392  1.1672906116826285e-6
0.086  0.9999981503112995  0.00325339910624722  0.00325339910624722  1.8496887005951077e-6
0.087  0.9999974075304455  0.0033665502319508572  0.0033665502319508572  2.592469554576101e-6
