tScaled  C  D
0.001  1.0  2.670515349070621e-17
0.002  1.0000000000003828  1.7099051604873866e-15
0.003  1.0000000000013665  1.9476849067154276e-14
0.004  1.0000000000023483  1.0941617827938727e-13
0.005  1.0000000000027178  4.173210015858334e-13
0.006  1.0000000000018652  1.2459368896827542e-12
0.007  0.99999999999918  3.1414147762593748e-12
0.008  0.9999999999940521  6.998968767563652e-12
0.009  0.9999999999858713  1.4187738860448495e-11
0.01  1.0000000001400289  2.6703295416206072e-11
0.011  1.0000000008210002  4.734655714150549e-11
0.012  1.000000001968334  7.987633377446741e-11
0.013  1.0000000035023584  1.2921913095992862e-10
0.014  1.0000000053434035  2.0168860622853003e-10
0.015  1.000000007411797  3.0522293388292526e-10
0.016  1.0000000096278683  4.4964079718824136e-10
0.017  1.0000000119119457  6.469160078667894e-10
0.018  1.0000000141843586  9.114707528970305e-10
0.019  1.0000000163654352  1.2604874686167865e-9
0.02  1.0000000183755051  1.71423934213071e-9
0.021  1.0000000201348969  2.2964394400219873e-9
0.022  1.0000000215639393  3.034608464368328e-9
0.023  1.000000022582961  3.960461136062153e-9
0.024  1.000000023112291  5.110311205435106e-9
0.025  1.0000000230722577  6.525495090186712e-9
0.026  1.000000022383191  8.252814140617427e-9
0.027  1.0000000209654183  1.0344995532165773e-8
0.028  1.0000000187392697  1.2861171785249893e-8
0.029  1.0000000156250732  1.586737891241323e-8
0.03  1.0000000115431584  1.9437073192774502e-8
0.031  1.000000006413854  2.3651666573781933e-8
0.032  1.0000000001574878  2.860108070027174e-8
0.033  0.9999999926943894  3.4384319570830887e-8
0.034  0.9999999839448878  4.111006082146398e-8
0.035  0.9999999738293115  4.8897265636564596e-8
0.036  0.9999999622679895  5.7875807287190706e-8
0.037  0.999999949181251  6.818711829664444e-8
0.038  0.9999999344894244  7.998485623335601e-8
0.039  0.9999999181128384  9.343558813107201e-8
0.04  0.9999998999718226  1.0871949353634794e-7
0.041  0.9999998799867051  1.260310861833448e-7
0.042  0.9999998580778157  1.4557995429593023e-7
0.043  0.9999998341654825  1.675915195170837e-7
0.044  0.9999998081700346  1.9230781446560574e-7
0.045  0.9999997800118011  2.1998827892013218e-7
0.046  0.9999998635436746  2.5106224124076435e-7
0.047  1.0000001740536146  2.860197831239973e-7
0.048  1.0000007047613362  3.252313128489111e-7
0.049  1.0000014488677373  3.6909089661278466e-7
0.05  1.0000023995737732  4.180169896531415e-7
0.051  1.0000035500804532  4.7245315201583663e-7
0.052  1.000004893588831  5.328687725393388e-7
0.053  1.0000064233000006  5.997598010552024e-7
0.054  1.0000081324150876  6.736494888047302e-7
0.055  1.0000100141352446  7.550891370718268e-7
0.056  1.0000120616616444  8.446588540320501e-7
0.057  1.000014268195473  9.429683198178373e-7
0.058  1.000016626937927  1.050657559799953e-6
0.059  1.0000191310902058  1.168397726085091e-6
0.06  1.0000217738535087  1.2968918872296985e-6
0.061  1.0000245484290269  1.436875826169968e-6
0.062  1.0000274480179425  1.5891188463680463e-6
0.063  1.0000304658214216  1.7544245861744074e-6
0.064  1.0000335950406118  1.9336318414064363e-6
0.065  1.0000368288766373  2.127615396143205e-6
